date,value
2017-01-19,831800
2017-01-26,865000
2017-02-15,932800
2017-02-18,917500
2017-02-25,915200
2017-03-10,968700
2017-03-17,974300
2017-03-30,977300
2017-04-09,980800
2017-04-19,986900
2017-04-29,997900
2017-05-16,1012900
2017-05-26,998600
2017-06-05,953300
2017-06-18,1011800
2017-06-25,967000
2017-07-05,980200
2017-07-18,1002900
2017-07-28,959300
2017-08-02,948500
2017-08-04,945200
2017-08-14,888100
2017-08-17,888200
2017-08-22,846800
2017-08-24,810800
2017-10-11,751800
2017-10-16,757000
2017-10-26,742700
2017-10-31,727500
2017-11-07,730200
2017-11-17,599900
2017-11-22,706800
2017-11-25,739700
2018-01-14,900500
2018-01-24,1014500
2018-02-10,982400
2018-03-07,1039600
2018-03-15,1031300
2018-04-19,992600
2018-05-06,980000
2018-05-11,1006700
2018-06-20,990300
2018-06-25,1004900
2018-07-08,998100
2018-07-10,1008300
2018-07-15,994900
2018-07-18,1026300
2018-07-25,976600
2018-08-02,982400
2018-08-04,976300
2018-08-12,979200
2018-08-19,995100
2018-08-22,980300
2018-08-27,918800
2018-09-01,975600
2018-09-03,963200
2018-09-08,959200
2018-09-11,969500
2018-09-16,958500
2018-09-26,967400
2018-09-28,960700
2018-10-06,951500
2018-10-23,902100
2018-11-17,925800
2018-11-27,931500
2019-02-03,997600
2019-02-13,987400
2019-02-15,966200
2019-02-20,980500
2019-02-23,960500
2019-02-25,992700
2019-03-20,993600
2019-03-22,966600
2019-03-25,965300
2019-03-27,986100
2019-03-30,974700
2019-04-19,1009800
2019-05-01,969100
2019-05-14,994100
2019-05-31,975000
2019-07-03,1016800
2019-07-05,1004600
2019-07-08,1013200
2019-07-10,997600
2019-07-15,1007400
2019-07-23,966600
2019-07-25,938400
2019-08-02,937000
2019-08-04,941600
2019-08-22,848100
2019-08-29,800100
2019-09-03,767100
2019-09-11,718500
2019-09-13,676800
2019-09-16,693200
2019-09-18,673900
2019-10-08,671100
2019-10-11,651900
2019-10-13,547100
2019-12-05,957400
2019-12-10,978900
2019-12-15,1032400
2019-12-17,1002500
2019-12-30,1016900
2020-01-11,990200
2020-01-16,982700
2020-01-19,954300
2020-02-03,1000700
2020-02-05,1002800
2020-02-15,977800
2020-02-20,983600
2020-03-09,1046000
2020-03-21,1019700
2020-03-24,1008400
2020-04-03,999200
2020-04-05,978500
2020-04-10,977600
2020-04-13,1042900
2020-04-15,999300
2020-05-18,1012500
2020-05-20,1014700
2020-05-25,967100
2020-05-28,1025600
2020-05-30,996000
2020-06-24,989000
2020-06-27,1031500
2020-07-07,1008900
2020-07-09,1009300
2020-07-12,1016300
2020-07-19,989700
2020-07-24,987300
2020-07-27,997000
2020-07-29,1008200
2020-08-06,946500
2020-08-11,968600
2020-09-02,878600
2020-09-05,876200
2020-09-10,868100
2020-09-12,848400
2020-09-17,840800
2020-09-30,815200
2020-10-17,825800
2020-10-30,833300
2020-11-06,847200
2020-11-19,879700
2020-11-21,867300
2020-11-26,866200
2020-11-29,819900
2020-12-26,973700
2021-01-03,1010600
2021-01-08,992500
2021-01-10,1009700
2021-01-18,1027400
2021-02-24,1004800
2021-02-27,1015500
2021-03-01,1002700
2021-03-04,1003500
2021-03-06,1008400
2021-03-09,991400
2021-03-21,985700
2021-03-24,976900
2021-03-29,992500
2021-03-31,1019600
2021-04-03,1006600
2021-04-05,1019200
2021-04-15,1019500
2021-04-23,1011200
2021-05-08,1026000
2021-05-28,1034700
2021-05-30,990600
2021-06-09,1006000
2021-06-12,1000300
2021-06-14,1006900
2021-07-17,1008200
2021-07-19,992100
2021-07-22,1003700
2021-08-11,995400
2021-08-21,1000400
2021-08-26,979200
2021-08-28,983200
2021-08-31,988900
2021-09-05,986200
2021-09-07,966900
2021-09-22,940200
2021-09-25,944400
2021-09-30,954200
2021-10-10,944800
2021-10-12,952700
2021-10-15,949400
2021-10-27,932600
2021-11-06,942300
2021-11-09,952900
2021-12-14,983200
2021-12-16,951000
2021-12-19,974900
2021-12-21,970000
2023-02-04,836300
2023-02-09,826400
2023-02-12,839400
2023-02-14,862300
2023-02-17,862200
2023-04-08,966300
